Country,ISO3,Year,ObesityRate
Algeria,DZA,2022,24.24859
American Samoa,ASM,2022,75.55959
Americas (WHO),,2022,34.35649
Andorra,AND,2022,20.47006
Angola,AGO,2022,10.53502
Antigua and Barbuda,ATG,2022,34.06155
Zambia,ZMB,2022,9.4169
Argentina,ARG,2022,36.02564
Togo,TGO,2022,10.44978
Tokelau,TKL,2022,69.20676
Tonga,TON,2022,70.53527
Trinidad and Tobago,TTO,2022,29.15095
Tunisia,TUN,2022,28.264
Turkey,TUR,2022,34.25613
Ukraine,UKR,2022,29.20289
Albania,ALB,2022,26.58335
Jamaica,JAM,2022,34.1783
Japan,JPN,2022,4.93537
Jordan,JOR,2022,35.61215
Kazakhstan,KAZ,2022,19.34311
Kenya,KEN,2022,11.04457
Kiribati,KIR,2022,46.19357
Vanuatu,VUT,2022,19.94757
Kuwait,KWT,2022,45.36456
Iceland,ISL,2022,22.58658
India,IND,2022,7.20651
Indonesia,IDN,2022,11.50446
Iran,IRN,2022,25.26413
Iraq,IRQ,2022,37.36464
Ireland,IRL,2022,30.84253
Israel,ISR,2022,23.39079
Italy,ITA,2022,21.55315
Kyrgyzstan,KGZ,2022,24.41363
Laos,LAO,2022,7.75802
Latvia,LVA,2022,29.81393
Lebanon,LBN,2022,31.06655
Lesotho,LSO,2022,19.29229
Liberia,LBR,2022,16.20574
Libya,LBY,2022,36.15229
Lithuania,LTU,2022,31.14159
Guatemala,GTM,2022,25.19955
Guinea,GIN,2022,8.2886
Guinea-Bissau,GNB,2022,10.07749
Guyana,GUY,2022,27.99775
Haiti,HTI,2022,10.22693
Honduras,HND,2022,28.53912
Venezuela,VEN,2022,22.83876
Hungary,HUN,2022,36.39898
Luxembourg,LUX,2022,20.21109
Madagascar,MDG,2022,3.84666
Malawi,MWI,2022,6.37348
Malaysia,MYS,2022,22.40492
Maldives,MDV,2022,17.57296
Mali,MLI,2022,9.95287
Uzbekistan,UZB,2022,28.51616
Malta,MLT,2022,34.62062
Gabon,GAB,2022,20.00162
Gambia,GMB,2022,13.21974
Georgia,GEO,2022,38.93636
Germany,DEU,2022,24.16192
Ghana,GHA,2022,12.10874
Greece,GRC,2022,33.68205
Greenland,GRL,2022,28.17298
Grenada,GRD,2022,30.49136
Marshall Islands,MHL,2022,47.28545
Mauritania,MRT,2022,20.84189
Mauritius,MUS,2022,19.47077
Mexico,MEX,2022,36.08603
Micronesia (country),FSM,2022,45.59584
Moldova,MDA,2022,25.64504
Mongolia,MNG,2022,23.98801
Montenegro,MNE,2022,21.05212
Eswatini,SWZ,2022,27.31483
Ethiopia,ETH,2022,2.40611
Europe (WHO),,2022,25.60642
Fiji,FJI,2022,33.84237
Finland,FIN,2022,23.70109
France,FRA,2022,10.92481
Vietnam,VNM,2022,2.0817
French Polynesia,PYF,2022,48.41785
Morocco,MAR,2022,22.12767
Mozambique,MOZ,2022,8.7818
Myanmar,MMR,2022,7.54058
Namibia,NAM,2022,15.2854
Nauru,NRU,2022,70.18286
Nepal,NPL,2022,6.57554
Uruguay,URY,2022,34.66752
Netherlands,NLD,2022,16.91088
East Timor,TLS,2022,2.24756
Eastern Mediterranean (WHO),,2022,27.52794
Ecuador,ECU,2022,26.98363
Egypt,EGY,2022,42.98924
El Salvador,SLV,2022,29.89273
Equatorial Guinea,GNQ,2022,17.16117
Eritrea,ERI,2022,4.19994
Estonia,EST,2022,26.67095
New Zealand,NZL,2022,34.24536
Nicaragua,NIC,2022,32.42438
Niger,NER,2022,5.32594
Nigeria,NGA,2022,10.83669
Niue,NIU,2022,66.46188
North Korea,PRK,2022,10.86703
North Macedonia,MKD,2022,30.6488
Norway,NOR,2022,19.76505
Cyprus,CYP,2022,25.10993
Czechia,CZE,2022,31.29533
Democratic Republic of Congo,COD,2022,5.76078
Denmark,DNK,2022,14.30341
Djibouti,DJI,2022,10.86511
Dominica,DMA,2022,31.50258
Western Pacific (WHO),,2022,8.39143
Dominican Republic,DOM,2022,29.12325
Oman,OMN,2022,30.18688
Pakistan,PAK,2022,21.84745
Palau,PLW,2022,42.20363
Palestine,PSE,2022,32.8151
Panama,PAN,2022,36.0801
Papua New Guinea,PNG,2022,20.12462
United States,USA,2022,42.86787
Paraguay,PRY,2022,32.08339
Colombia,COL,2022,23.85454
Comoros,COM,2022,15.54546
Congo,COG,2022,7.95688
Cook Islands,COK,2022,68.4176
Costa Rica,CRI,2022,31.97244
Cote d'Ivoire,CIV,2022,10.58711
Croatia,HRV,2022,35.65174
Cuba,CUB,2022,23.53925
Peru,PER,2022,27.18473
Philippines,PHL,2022,8.73605
Poland,POL,2022,31.41283
Portugal,PRT,2022,27.06199
Puerto Rico,PRI,2022,41.01081
Qatar,QAT,2022,43.75553
Romania,ROU,2022,38.23628
Russia,RUS,2022,28.04944
Cameroon,CMR,2022,13.35076
Canada,CAN,2022,27.31915
Cape Verde,CPV,2022,15.08562
Central African Republic,CAF,2022,7.66854
Chad,TCD,2022,5.71398
Chile,CHL,2022,39.52288
World,OWID_WRL,2022,16.0211
China,CHN,2022,8.21126
Rwanda,RWA,2022,4.56908
Saint Kitts and Nevis,KNA,2022,46.61522
Saint Lucia,LCA,2022,33.93452
Saint Vincent and the Grenadines,VCT,2022,33.56653
Samoa,WSM,2022,61.23695
United Kingdom,GBR,2022,28.70708
Sao Tome and Principe,STP,2022,15.03851
Saudi Arabia,SAU,2022,41.1081
Bosnia and Herzegovina,BIH,2022,25.46701
Botswana,BWA,2022,17.45848
Brazil,BRA,2022,28.76292
Brunei,BRN,2022,32.37802
Bulgaria,BGR,2022,24.24786
Burkina Faso,BFA,2022,6.10077
Burundi,BDI,2022,4.5345
Cambodia,KHM,2022,4.38646
Senegal,SEN,2022,8.68215
Serbia,SRB,2022,26.05491
Seychelles,SYC,2022,30.26695
Sierra Leone,SLE,2022,6.47527
Singapore,SGP,2022,13.53592
Slovakia,SVK,2022,30.28089
Slovenia,SVN,2022,22.20498
Solomon Islands,SLB,2022,21.62689
Belarus,BLR,2022,26.55127
Belgium,BEL,2022,22.00038
Belize,BLZ,2022,41.91092
Benin,BEN,2022,9.8947
Bermuda,BMU,2022,34.00804
Bhutan,BTN,2022,11.98425
Yemen,YEM,2022,11.55534
Bolivia,BOL,2022,27.80303
Somalia,SOM,2022,12.69808
South Africa,ZAF,2022,30.03376
South Korea,KOR,2022,6.73334
South Sudan,SSD,2022,7.98346
South-East Asia (WHO),,2022,8.00833
Spain,ESP,2022,19.16706
United Arab Emirates,ARE,2022,31.54617
Sri Lanka,LKA,2022,10.60543
Armenia,ARM,2022,27.86621
Australia,AUS,2022,31.82415
Austria,AUT,2022,17.04036
Azerbaijan,AZE,2022,27.50411
Bahamas,BHS,2022,47.61047
Bahrain,BHR,2022,37.18739
Bangladesh,BGD,2022,5.29035
Barbados,BRB,2022,38.22936
Sudan,SDN,2022,15.49623
Suriname,SUR,2022,28.98193
Sweden,SWE,2022,16.4103
Switzerland,CHE,2022,13.74016
Syria,SYR,2022,31.17818
Tajikistan,TJK,2022,20.80941
Tanzania,TZA,2022,11.39353
Thailand,THA,2022,14.50924
Turkmenistan,TKM,2022,20.1582
Africa (WHO),,2022,10.68157
Tuvalu,TUV,2022,63.93328
Afghanistan,AFG,2022,17.59419
Uganda,UGA,2022,6.88494
Zimbabwe,ZWE,2022,12.427
