Year,Locationabbr,Locationdesc,Topic,Question,Response,Data_value
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,65.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,35.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,65.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,34.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,63.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,36.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,63.2
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,36.8
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,67.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,33.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,67.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,32.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,63.3
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,36.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,65.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,35.0
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,63.3
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,36.7
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,69.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,30.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,55.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,44.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,60.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,39.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,56.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,43.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,60.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,39.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,57.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,42.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,49.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,50.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,58.8
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,41.2
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,64.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,35.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,76.2
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,23.8
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,49.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,50.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,53.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,46.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,62.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,37.5
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,57.9
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,42.1
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,66.8
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,33.2
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,73.6
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,26.4
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),Yes,79.7
2023,AK,Alaska,Aerobic Activity,Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions),No,20.3
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,33.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,66.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,36.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,63.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,31.4
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,68.6
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,40.3
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,59.7
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,36.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,63.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,32.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,67.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,31.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,68.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,33.4
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,66.6
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,30.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,69.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,36.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,63.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,35.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,64.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,31.7
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,68.3
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,31.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,68.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,28.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,71.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,30.1
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,69.9
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,20.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,80.0
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,32.3
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,67.7
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,33.8
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,66.2
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,39.4
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,60.6
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),Yes,25.3
2023,AK,Alaska,Physical Activity Index,Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions),No,74.7
