GeoFIPS,GeoName,Description,Year,PerCapitaIncome
" ""00000""",United States,Per capita personal income (dollars) 2/,1929,699.0
" ""01000""",Alabama,Per capita personal income (dollars) 2/,1929,319.0
" ""02000""",Alaska *,Per capita personal income (dollars) 2/,1929,
" ""04000""",Arizona,Per capita personal income (dollars) 2/,1929,598.0
" ""05000""",Arkansas,Per capita personal income (dollars) 2/,1929,303.0
" ""06000""",California,Per capita personal income (dollars) 2/,1929,994.0
" ""08000""",Colorado,Per capita personal income (dollars) 2/,1929,631.0
" ""09000""",Connecticut,Per capita personal income (dollars) 2/,1929,1029.0
" ""10000""",Delaware,Per capita personal income (dollars) 2/,1929,1031.0
" ""11000""",District of Columbia,Per capita personal income (dollars) 2/,1929,1324.0
" ""12000""",Florida,Per capita personal income (dollars) 2/,1929,519.0
" ""13000""",Georgia,Per capita personal income (dollars) 2/,1929,343.0
" ""15000""",Hawaii *,Per capita personal income (dollars) 2/,1929,
" ""16000""",Idaho,Per capita personal income (dollars) 2/,1929,499.0
" ""17000""",Illinois,Per capita personal income (dollars) 2/,1929,951.0
" ""18000""",Indiana,Per capita personal income (dollars) 2/,1929,605.0
" ""19000""",Iowa,Per capita personal income (dollars) 2/,1929,571.0
" ""20000""",Kansas,Per capita personal income (dollars) 2/,1929,526.0
" ""21000""",Kentucky,Per capita personal income (dollars) 2/,1929,388.0
" ""22000""",Louisiana,Per capita personal income (dollars) 2/,1929,409.0
" ""23000""",Maine,Per capita personal income (dollars) 2/,1929,600.0
" ""24000""",Maryland,Per capita personal income (dollars) 2/,1929,775.0
" ""25000""",Massachusetts,Per capita personal income (dollars) 2/,1929,911.0
" ""26000""",Michigan,Per capita personal income (dollars) 2/,1929,792.0
" ""27000""",Minnesota,Per capita personal income (dollars) 2/,1929,594.0
" ""28000""",Mississippi,Per capita personal income (dollars) 2/,1929,277.0
" ""29000""",Missouri,Per capita personal income (dollars) 2/,1929,619.0
" ""30000""",Montana,Per capita personal income (dollars) 2/,1929,592.0
" ""31000""",Nebraska,Per capita personal income (dollars) 2/,1929,584.0
" ""32000""",Nevada,Per capita personal income (dollars) 2/,1929,874.0
